Map,Killer,# Finished generators,# Escaped Survivors,Comments,# Hatch escapes,Season,SBMM
SH,Plague,3,0,Proxy Camp,0,February,FALSE
BWS,Doctor,5,2,Farm final,0,February,FALSE
RF,Demogorgon,2,0,,0,February,FALSE
BWS,Trapper,5,3,,0,February,FALSE
CF,Myers,2,0,,0,February,FALSE
MCM,Wraith,0,1,1 hatch,1,February,FALSE
DDS,Nurse,5,1,,0,February,FALSE
YAM,Doctor,5,2,Face Camp,0,February,FALSE
LER,Legion,2,0,,0,February,FALSE
CF,Blight,2,0,,0,February,FALSE
CF,Hag,2,1,,0,February,FALSE
YAM,Deathslinger,3,0,,0,February,FALSE
MCM,Spirit,5,4,,0,February,FALSE
CF,Plague,0,4,Killer DC,0,February,FALSE
LER,Demogorgon,5,4,,0,February,FALSE
CF,Hillbilly,4,0,,0,February,FALSE
MCM,Myers,5,3,1 hatch,1,February,FALSE
AVW,Cannibal,5,4,,0,February,FALSE
AVW,Spirit,5,3,,0,February,FALSE
HA,Deathslinger,0,4,Killer DC,0,February,FALSE
AVW,Spirit,5,1,,0,February,FALSE
GID,Spirit,2,1,1 hatch,1,February,FALSE
RF,Deathslinger,5,3,1 Mori (DH),0,February,FALSE
AVW,Hillbilly,5,1,NOED,0,February,FALSE
AVW,Ghost Face,5,0,Camp,0,February,FALSE
AVW,Huntress,2,0,Iridescent Hatchets,0,February,FALSE
CF,Twins,5,3,,0,February,FALSE
CF,Doctor,2,0,,0,February,FALSE
LER,Huntress,4,0,,0,February,FALSE
AVW,Ghost Face,1,3,Killer DC,0,February,FALSE
AVW,Ghost Face,2,0,,0,February,FALSE
GID,Trapper,5,2,NOED,0,February,FALSE
BWS,Huntress,5,0,,0,February,FALSE
MCM,Huntress,5,4,,0,February,FALSE
AVW,Ghost Face,4,0,Tunnel and Camp,0,February,FALSE
OR,Spirit,3,0,,0,February,FALSE
DDS,Nurse,5,4,,0,February,FALSE
CF,Oni,5,3,,0,March,FALSE
CP,Huntress,4,0,,0,March,FALSE
AVW,Trapper,3,0,,0,March,FALSE
LER,Oni,5,4,,0,March,FALSE
GID,Freddy,2,0,Devour Hope (2 Moris),0,March,FALSE
HA,Ghost Face,5,2,Russian roulette,0,March,FALSE
GID,Spirit,1,0,,0,March,FALSE
MCM,Pig,2,0,,0,March,FALSE
HAW,Hillbilly,5,3,,0,March,FALSE
CF,Myers,5,3,1 Mori (Iridescent add-on ),0,March,FALSE
SH,Twins,1,4,Russian roulette,0,March,FALSE
RF,Nurse,5,2,,0,March,FALSE
SH,Cannibal,1,0,,0,March,FALSE
GID,Pyramid Head,4,1,1 hatch,1,March,FALSE
AVW,Doctor,5,2,Russian roulette,0,March,FALSE
OR,Deathslinger,3,2,2 hatches (key) + Russian roulette,2,March,FALSE
GID,Spirit,3,1,1 hatch + Russian roulette,1,March,FALSE
CF,Huntress,2,1,1 hatch + Russian roulette,1,March,FALSE
GID,Oni,5,2,,0,March,FALSE
CF,Pig,1,0,,0,March,FALSE
CF,Myers,5,2,,0,March,FALSE
CF,Nurse,5,3,,0,March,FALSE
AVW,Spirit,5,3,,0,March,FALSE
HA,Huntress,5,2,NOED,0,March,FALSE
GID,Nurse,3,0,,0,March,FALSE
BWS,Trapper,3,0,,0,March,FALSE
OR,Huntress,5,2,,0,March,FALSE
HAW,Oni,2,0,,0,March,FALSE
MCM,Clown,5,4,,0,March,FALSE
AVW,Pig,5,2,Face Camp,0,March,FALSE
BWS,Pig,5,0,,0,March,FALSE
GID,Demogorgon,2,0,,0,March,FALSE
AVW,Pyramid Head,2,0,NOED,0,March,FALSE
GID,Pig,0,0,,0,March,FALSE
BWS,Spirit,5,1,,0,March,FALSE
MCM,Wraith,5,4,Farm,0,March,FALSE
OR,Cannibal,5,3,NOED + Face Camp,0,March,FALSE
CF,Doctor,5,2,Bully + missed DS,0,March,FALSE
GID,Clown,2,0,,0,March,FALSE
CP,Deathslinger,4,1,,0,March,FALSE
CP,Pyramid Head,5,4,1 hatch,1,March,FALSE
CF,Deathslinger,3,0,,0,March,FALSE
BAP,Clown,3,0,,0,March,FALSE
MCM,Trapper,2,4,Killer DC,0,March,FALSE
AVW,Freddy,4,1,1 hatch,1,March,FALSE
GID,Freddy,3,1,1 hatch,1,March,FALSE
SH,Huntress,3,0,Tunnel,0,March,FALSE
BWS,Plague,5,3,Tunnel + Rancor,0,March,FALSE
CF,Huntress,5,1,Karma teabag gates,0,March,FALSE
HA,Oni,5,3,,0,March,FALSE
MCM,Nurse,2,1,1 hatch,1,March,FALSE
AVW,Nurse,2,0,,0,March,FALSE
YAM,Trapper,4,0,,0,March,FALSE
LER,Huntress,2,0,RAFGaming,0,March,FALSE
CF,Clown,2,0,,0,March,FALSE
AVW,Pyramid Head,5,3,1 hatch,1,March,FALSE
YAM,Freddy,2,0,,0,March,FALSE
AVW,Ghost Face,5,4,,0,March,FALSE
CP,Oni,5,1,OoO,0,March,FALSE
CP,Doctor,2,0,OoO + Mori,0,March,FALSE
MCM,Huntress,5,3,,0,March,FALSE
DDS,Nurse,5,4,,0,March,FALSE
CF,Cannibal,0,1,1 hatch,1,March,FALSE
AVW,Twins,4,1,1 hatch,1,March,FALSE
CF,Freddy,2,0,,0,March,FALSE
AVW,Blight,3,1,1 hatch,1,March,FALSE
MCM,Huntress,2,1,1 hatch,1,March,FALSE
LER,Legion,5,4,,0,March,FALSE
RF,Clown,5,4,,0,March,FALSE
AVW,Trapper,2,0,Camp + 2 DC,0,March,FALSE
HA,Ghost Face,3,0,,0,March,FALSE
YAM,Deathslinger,5,4,,0,March,FALSE
AVW,Trapper,4,1,Camp + Tunnel,0,March,FALSE
YAM,Freddy,1,0,,0,March,FALSE
RF,Twins,3,0,,0,March,FALSE
CF,Blight,3,1,1 hatch + 2 Moris (Devour Hope),1,March,FALSE
MCM,Demogorgon,3,0,,0,March,FALSE
CF,Plague,5,2,Farm at the end + Cheat,0,March,FALSE
YAM,Deathslinger,2,0,1 DC,0,March,FALSE
MCM,Huntress,3,0,,0,March,FALSE
MCM,Oni,2,0,Russian roulette,0,March,FALSE
AVW,Myers,5,1,,0,March,FALSE
AVW,Legion,2,0,,0,March,FALSE
CF,Twins,3,1,1 hatch,1,March,FALSE
MCM,Spirit,3,1,1 hatch,1,March,FALSE
CF,Spirit,5,3,,0,March,FALSE
BAP,Clown,3,1,Farm final + 1 hatch,1,March,FALSE
DDS,Clown,5,2,,0,March,FALSE
CF,Oni,5,4,Stupid Killer,0,March,FALSE
MCM,Cannibal,3,1,1 hatch,1,March,FALSE
HAW,Ghost Face,2,0,3 Moris (Devour Hope),0,March,FALSE
BWS,Blight,3,0,,0,March,FALSE
MCM,Ghost Face,5,4,Camp,0,March,FALSE
AVW,Nurse,1,1,Slug fest + 1 hatch,1,March,FALSE
HA,Ghost Face,3,0,Camp,0,March,FALSE
AVW,Wraith,3,0,,0,March,FALSE
OR,Huntress,4,2,El Special (key + placed hatch),2,March,FALSE
OR,Huntress,3,2,El Special (key + placed hatch),2,March,FALSE
OR,Oni,1,0,Camp,0,March,FALSE
OR,Wraith,3,1,1 hatch,1,March,FALSE
OR,Twins,2,1,1 hatch,1,March,FALSE
CF,Spirit,5,2,1 unhook + DS => sortie,0,March,FALSE
BWS,Myers,5,3,Camp + 1 hatch,1,March,FALSE
HAW,Legion,2,0,,0,March,FALSE
AVW,Deathslinger,1,0,4 Mori,0,March,FALSE
OR,Oni,2,0,,0,March,FALSE
DDS,Clown,2,1,1 Mori (Devour Hope) + 1 hatch,1,March,FALSE
CF,Spirit,3,0,,0,March,FALSE
BAP,Freddy,2,0,,0,March,FALSE
AVW,Deathslinger,2,0,,0,March,FALSE
AVW,Clown,5,0,,0,March,FALSE
RF,Clown,3,0,,0,March,FALSE
BWS,Myers,5,1,1 hatch,1,March,FALSE
AVW,Blight,3,0,Tunnel,0,March,FALSE
DDS,Wraith,4,0,,0,March,FALSE
OR,Nurse,5,3,El Special (2 hatches),2,March,FALSE
OR,Demogorgon,2,1,El special (1 hatch),1,March,FALSE
OR,Blight,5,3,El special + Basement camp,0,March,FALSE
CP,Blight,1,0,,0,March,FALSE
RF,Legion,2,0,,0,March,FALSE
OR,Deathslinger,5,3,,0,March,FALSE
BAP,Nurse,2,0,,0,March,FALSE
SH,Hillbilly,4,0,Tunnel + Camp,0,March,FALSE
CF,Trapper,2,0,,0,March,FALSE
SH,Freddy,5,2,NOED,0,March,FALSE
RF,Freddy,3,0,,0,March,FALSE
AVW,Demogorgon,5,3,NOED,0,March,FALSE
AVW,Huntress,1,0,Tunnel + iridescent add-on,0,March,FALSE
DDS,Demogorgon,5,3,Farm,0,March,FALSE
AVW,Myers,2,0,4 moris (iridescent add-on ),0,March,FALSE
MCM,Freddy,1,0,,0,March,FALSE
HA,Doctor,5,1,,0,March,FALSE
DDS,Plague,2,0,,0,March,FALSE
OR,Freddy,5,3,Iridescent add-on (black box),0,March,FALSE
CF,Nurse,4,4,Tunnel + Camp,0,March,FALSE
MCM,Myers,4,0,,0,March,FALSE
DDS,Deathslinger,1,0,Camp + Mori + NOED + Iri add-on,0,March,FALSE
BAP,Spirit,4,0,Tunnel,0,March,FALSE
CF,Nurse,5,4,,0,March,FALSE
LER,Blight,1,0,1 DC,0,March,FALSE
RF,Myers,4,3,2 hatches,2,March,FALSE
DDS,Freddy,2,0,Tunnel,0,March,FALSE
CF,Ghost Face,3,1,,0,March,FALSE
YAM,Twins,0,1,1 hatch,1,March,FALSE
HA,Trapper,2,0,,0,March,FALSE
OR,Hillbilly,2,1,1 hatch,1,March,FALSE
DDS,Freddy,5,2,,0,March,FALSE
MCM,Cannibal,1,1,,0,March,FALSE
CF,Legion,5,0,,0,March,FALSE
GID,Huntress,1,0,,0,March,FALSE
MCM,Myers,4,0,Infinite tier 3,0,March,FALSE
OR,Nurse,3,1,1 hatch (key) + Camp,1,March,FALSE
OR,Freddy,4,0,,0,March,FALSE
AVW,Nurse,5,4,Camp,0,March,FALSE
OR,Cannibal,0,1,1 hatch + 1 DC,1,March,FALSE
MCM,Freddy,2,0,Slugfest,0,March,FALSE
HA,Hag,5,3,Camp,0,March,FALSE
MCM,Plague,4,0,,0,March,FALSE
GID,Hag,3,0,,0,March,FALSE
CF,Ghost Face,2,0,2 rank 20 + 1 DC,0,March,FALSE
CF,Nurse,2,1,1 hatch,1,March,FALSE
CF,Cannibal,3,0,,0,March,FALSE
AVW,Trickster,5,2,Tunnel + facecamp w/ Insidious,0,March,FALSE
MCM,Trickster,5,0,Tunnel + toxic gameplay at the gates,0,March,FALSE
AVW,Hillbilly,3,1,1 hatch,1,March,FALSE
CF,Trickster,5,3,,0,March,FALSE
OR,Pyramid Head,5,3,,0,March,FALSE
MCM,Deathslinger,1,0,camp +++ + slugfest at the start,0,March,FALSE
BWS,Trickster,5,3,,0,March,FALSE
MCM,Pig,5,2,facecamp at the end + tunnel + NOED,0,March,FALSE
BAP,Trickster,3,1,1 hatch,1,March,FALSE
CF,Cannibal,1,0,Slugfest,0,March,FALSE
CF,Trickster,3,0,,0,March,FALSE
MCM,Myers,3,3,Killer DC,0,March,FALSE
CF,Cannibal,2,0,Russian roulette,0,March,FALSE
MCM,Trickster,5,3,,0,March,FALSE
CF,Spirit,2,0,Camp,0,March,FALSE
AVW,Hag,3,0,Tunnel + Camp,0,March,FALSE
HA,Deathslinger,2,0,,0,March,FALSE
OR,Pyramid Head,4,2,2 hatches (el special),2,March,FALSE
SH,Doctor,3,0,,0,March,FALSE
YAM,Ghost Face,1,1,1 hatch + tunnel,1,March,FALSE
AVW,Trapper,4,0,Cheat ?,0,March,FALSE
AVW,Nurse,1,0,Cheat,0,March,FALSE
AVW,Blight,5,1,,0,March,FALSE
AVW,Trickster,5,4,,0,March,FALSE
AVW,Spirit,3,1,1 hatch + Devour Hope,1,March,FALSE
HAW,Nurse,4,1,1 hatch,1,March,FALSE
YAM,Legion,2,1,1 hatch,1,March,FALSE
AVW,Myers,4,1,1 hatch,1,March,FALSE
AVW,Spirit,5,2,Tunnel,0,March,FALSE
BWS,Blight,0,0,,0,March,FALSE
CF,Blight,1,0,2 Moris (Devour Hope),0,March,FALSE
HA,Oni,4,0,,0,March,FALSE
AVW,Blight,4,0,Camp +++,0,March,FALSE
AVW,Pig,2,0,Cheat,0,March,FALSE
MCM,Legion,2,4,Killer DC,0,March,FALSE
AVW,Huntress,0,0,Slugfest,0,March,FALSE
MCM,Deathslinger,3,0,Tunnel + Cheat ?,0,March,FALSE
DDS,Twins,5,2,,0,March,FALSE
AVW,Trickster,3,1,1 hatch,1,March,FALSE
AVW,Trapper,5,2,Camp + Tunnel + NOED,0,March,FALSE
AVW,Trapper,5,4,Farm +++,0,March,FALSE
BAP,Trickster,4,0,Stupid teammate didn't take hatch,0,March,FALSE
YAM,Freddy,4,0,,0,March,FALSE
SH,Hillbilly,2,0,,0,March,FALSE
MCM,Pig,5,1,Early gate opening (traps),0,March,FALSE
MCM,Cannibal,5,3,,0,March,FALSE
OR,Cannibal,3,0,,0,March,FALSE
BWS,Wraith,4,0,,0,March,FALSE
MCM,Legion,2,1,1 hatch,1,March,FALSE
GID,Wraith,5,1,Camp + 2 Moris + 1 hatch,1,March,FALSE
SH,Trickster,5,0,,0,March,FALSE
CF,Cannibal,3,0,,0,March,FALSE
BAP,Cannibal,2,0,Texas Chainsaw Massacre,0,March,FALSE
CF,Huntress,4,0,,0,March,FALSE
LER,Nurse,2,4,Killer Dc,0,March,FALSE
MCM,Trickster,5,4,AFK but not really,0,March,FALSE
CF,Hillbilly,4,1,1 hatch,1,March,FALSE
CP,Trickster,1,0,,0,March,FALSE
DDS,Freddy,5,2,1 hatch (key/accident) + camp,1,March,FALSE
CF,Wraith,5,2,Fake AFK,0,March,FALSE
LER,Hag,3,0,,0,March,FALSE
MCM,Trickster,2,1,Tunnel + 1 hatch (negotiated),1,March,FALSE
CF,Spirit,5,0,,0,March,FALSE
MCM,Spirit,5,1,,0,March,FALSE
CP,Legion,3,2,2 hatches (key),2,March,FALSE
AVW,Trickster,5,2,,0,March,FALSE
LER,Trapper,2,0,,0,March,FALSE
AVW,Clown,3,0,,0,March,FALSE
YAM,Cannibal,5,1,,0,March,FALSE
SH,Hag,2,0,,0,March,FALSE
BWS,Wraith,2,0,,0,March,FALSE
CF,Spirit,2,0,,0,March,FALSE
YAM,Cannibal,5,2,Camp + Tunnel,0,March,FALSE
DDS,Oni,5,2,Camp + NOED,0,March,FALSE
CP,Cannibal,2,0,Camp,0,March,FALSE
BWS,Deathslinger,4,1,1 hatch,1,March,FALSE
GID,Cannibal,1,0,Camp + Tunnel,0,March,FALSE
AVW,Spirit,5,1,Camp + toxic killer,0,March,FALSE
AVW,Doctor,4,1,Tunnel,0,March,FALSE
CF,Hag,5,1,Tunnel,0,March,FALSE
CF,Demogorgon,5,2,,0,March,FALSE
CF,Cannibal,1,1,Basement Camp,0,March,FALSE
GID,Nurse,5,3,Camp,0,March,FALSE
DDS,Nurse,0,0,Camp + Tunnel,0,March,FALSE
AVW,Cannibal,5,3,,0,March,FALSE
GID,Myers,3,1,1 hatch,1,March,FALSE
CP,Huntress,3,1,Proxy Camp + Tunnel + 1 hatch,1,March,FALSE
BAP,Hag,4,0,,0,March,FALSE
HA,Cannibal,0,1,,0,March,FALSE
DDS,Nurse,2,0,,0,March,FALSE
MCM,Legion,4,1,Slugfest + 1 hatch,1,March,FALSE
SH,Huntress,0,1,1 hatch,1,March,FALSE
AVW,Myers,5,4,Farm,0,March,FALSE
HA,Deathslinger,4,0,,0,March,FALSE
MCM,Plague,1,0,,0,March,FALSE
YAM,Huntress,5,2,,0,March,FALSE
AVW,Pyramid Head,5,2,,0,March,FALSE
SH,Plague,5,1,,0,March,FALSE
CP,Doctor,1,1,1 hatch,1,March,FALSE
MCM,Pig,4,0,,0,March,FALSE
HAW,Pig,4,1,1 hatch,1,March,FALSE
BWS,Cannibal,0,0,Tunnel + Camp,0,March,FALSE
CF,Nurse,5,2,Camp slug,0,March,FALSE
YAM,Trapper,5,4,AFK,0,March,FALSE
CP,Trickster,4,0,2 stupid suicides,0,March,FALSE
CF,Trapper,4,0,,0,March,FALSE
GID,Wraith,5,4,Hitting AFK,0,March,FALSE
HA,Spirit,2,0,,0,March,FALSE
CF,Blight,5,1,,0,March,FALSE
SH,Nurse,2,1,1 hatch,1,March,FALSE
MCM,Twins,2,0,Mega BM,0,March,FALSE
AVW,Doctor,2,0,2 idiots,0,March,FALSE
MCM,Hillbilly,5,2,,0,March,FALSE
OR,Trickster,3,0,,0,March,FALSE
CF,Pyramid Head,5,4,,0,March,FALSE
AVW,Myers,5,2,2 Moris (tombstone myers),0,March,FALSE
BAP,Cannibal,4,1,1 hatch (key),1,March,FALSE
AVW,Hillbilly,1,0,2 suicides + semi-farm,0,March,FALSE
BWS,Legion,3,4,Killer DC,0,March,FALSE
AVW,Trickster,3,0,Slugfest,0,March,FALSE
LER,Spirit,5,4,AFK but not really / Slugfest,0,March,FALSE
CF,Deathslinger,5,0,1 DC,0,March,FALSE
LER,Doctor,0,0,,0,March,FALSE
CF,Trickster,3,1,1 hatch,1,March,FALSE
AVW,Nurse,4,0,,0,March,FALSE
HAW,Pyramid Head,1,0,,0,March,FALSE
DDS,Huntress,3,1,Killer DC + 1 DC + 1 Mori (DH),0,March,FALSE
MCM,Huntress,5,2,,0,March,FALSE
AVW,Blight,2,1,1 hatch,1,March,FALSE
MCM,Spirit,3,0,,0,March,FALSE
MCM,Pyramid Head,3,0,,0,March,FALSE
BWS,Spirit,2,0,Narkis_01.ttv,0,March,FALSE
CF,Plague,3,0,Claudette locker + snitch,0,March,FALSE
MCM,Cannibal,2,0,playtime party,0,March,FALSE
MCM,Deathslinger,3,0,,0,March,FALSE
MCM,Twins,4,0,Tunnel +++,0,March,FALSE
AVW,Legion,3,0,Tunnel,0,March,FALSE
CF,Blight,5,3,,0,March,FALSE
AVW,Oni,4,0,,0,March,FALSE
AVW,Cannibal,0,0,1 suicide,0,March,FALSE
SH,Wraith,3,0,,0,March,FALSE
BWS,Oni,3,0,,0,March,FALSE
BWS,Wraith,5,2,1 AFK,0,March,FALSE
CF,Plague,5,3,,0,March,FALSE
CF,Wraith,4,0,,0,March,FALSE
CF,Nurse,4,1,1 hatch,1,March,FALSE
CF,Spirit,2,0,,0,March,FALSE
GID,Spirit,2,0,Tunnel,0,March,FALSE
DDS,Huntress,1,0,Slugfest / playtime Party / Tunnel,0,March,FALSE
LER,Clown,5,4,,0,March,FALSE
MCM,Wraith,5,4,AFK but opens the gates,0,March,FALSE
AVW,Hillbilly,0,0,,0,March,FALSE
CP,Hag,4,0,,0,March,FALSE
HA,Nurse,5,4,DC Ragequit,0,March,FALSE
AVW,Doctor,4,0,,0,March,FALSE
CF,Freddy,5,4,Farm +++++++,0,March,FALSE
AVW,Legion,2,0,,0,March,FALSE
CF,Huntress,1,0,Slugfest + basement camp,0,March,FALSE
MCM,Doctor,3,1,1 hatch + Facecamp +++,1,March,FALSE
BWS,Blight,0,0,1 DC,0,March,FALSE
MCM,Plague,5,4,,0,March,FALSE
CP,Pyramid Head,3,1,1 hatch (key),1,March,FALSE
HAW,Blight,2,0,,0,March,FALSE
CF,Hag,5,3,,0,March,FALSE
AVW,Nurse,5,2,,0,March,FALSE
MCM,Clown,1,0,Idiot team + DH + Cheat (?),0,March,FALSE
AVW,Oni,5,3,,0,March,FALSE
SH,Demogorgon,1,0,,0,March,FALSE
MCM,Huntress,5,2,Slugfest / Farm,0,March,FALSE
MCM,Legion,0,0,,0,March,FALSE
AVW,Huntress,1,0,,0,March,FALSE
OR,Pyramid Head,5,3,,0,March,FALSE
AVW,Hillbilly,4,0,,0,March,FALSE
DDS,Cannibal,1,1,1 hatch + Tunnel,1,March,FALSE
AVW,Ghost Face,5,1,Tunnel,0,March,FALSE
CP,Huntress,4,3,2 hatches (key),2,March,FALSE
CF,Doctor,2,1,1 hatch,1,March,FALSE
BWS,Hag,1,0,,0,March,FALSE
OR,Nurse,3,0,,0,March,FALSE
MCM,Trickster,3,0,1 suicide + camp,0,March,FALSE
AVW,Hag,2,0,1 DC + camp,0,March,FALSE
BWS,Oni,5,1,Tunnel + Camp,0,March,FALSE
MCM,Nurse,5,2,Tunnel + Farm,0,March,FALSE
BWS,Legion,4,0,,0,March,FALSE
CP,Nurse,3,0,,0,March,FALSE
AVW,Oni,5,1,,0,March,FALSE
AVW,Blight,3,0,,0,March,FALSE
BWS,Legion,3,0,,0,March,FALSE
SH,Clown,3,1,,0,March,FALSE
MCM,Plague,4,1,1 hatch,1,March,FALSE
CF,Freddy,3,0,Tunnel,0,March,FALSE
MCM,Legion,2,0,,0,March,FALSE
MCM,Pyramid Head,4,0,,0,March,FALSE
BWS,Hag,5,3,Camp + NOED + DH,0,March,FALSE
BWS,Doctor,2,0,Tunnel,0,March,FALSE
YAM,Cannibal,4,0,,0,March,FALSE
CF,Pyramid Head,5,3,NOED,0,March,FALSE
BWS,Pig,4,1,1 hatch (key) + 1 piège,1,March,FALSE
MCM,Deathslinger,3,0,,0,March,FALSE
CF,Demogorgon,3,1,1 hatch,1,March,FALSE
AVW,Deathslinger,2,1,1 hatch,1,March,FALSE
AVW,Nurse,5,3,Facecamp ++++,0,March,FALSE
DDS,Hag,4,2,2 hatches (key) + Camp +++,2,March,FALSE
HA,Plague,5,1,Tunnel + Proxy Camp,0,March,FALSE
MCM,Spirit,3,0,,0,March,FALSE
BAP,Trickster,3,1,1 hatch + 1 DC,1,March,FALSE
CF,Oni,2,0,Camp,0,March,FALSE
CF,Wraith,2,1,1 hatch,1,March,FALSE
AVW,Wraith,4,4,Same killer as before,0,March,FALSE
CP,Spirit,3,1,1 hatch,1,March,FALSE
CF,Nurse,2,1,1 hatch + really skilled killer,1,March,FALSE
MCM,Cannibal,2,1,1 hatch,1,March,FALSE
YAM,Huntress,4,0,,0,March,FALSE
AVW,Legion,5,3,Camp,0,March,FALSE
CF,Wraith,3,1,Basement camp + 1 hatch (farm but only w/ Tapp),1,March,FALSE
AVW,Cannibal,4,1,1 hatch,1,March,FALSE
LER,Oni,2,0,Iridescent add-on,0,March,FALSE
AVW,Hillbilly,2,0,,0,March,FALSE
YAM,Trickster,4,2,1 hatch (key),1,March,FALSE
MCM,Freddy,3,1,1 hatch,1,March,FALSE
MCM,Huntress,2,1,1 hatch (key),1,March,FALSE
BAP,Blight,4,0,,0,March,FALSE
MCM,Wraith,4,1,1 hatch,1,March,FALSE
MCM,Myers,3,0,,0,March,FALSE
LER,Clown,3,0,,0,March,FALSE
HA,Deathslinger,4,0,Camp + Tunnel,0,March,FALSE
AVW,Clown,5,3,,0,March,FALSE
AVW,Oni,3,0,,0,March,FALSE
AVW,Huntress,1,0,,0,March,FALSE
HA,Doctor,2,0,Tunnel,0,March,FALSE
AVW,Trickster,4,0,Tunnel + 1 suicide,0,March,FALSE
CF,Ghost Face,4,0,2 rank 20,0,March,FALSE
SH,Freddy,4,1,1 hatch (key),1,March,FALSE
LER,Ghost Face,3,1,1 hatch,1,March,FALSE
AVW,Deathslinger,5,3,1 hatch,1,March,FALSE
GID,Huntress,3,1,1 hatch,1,March,FALSE
HAW,Huntress,0,0,Complete DC,0,April,FALSE
OR,Ghost Face,4,0,,0,April,FALSE
SH,Huntress,4,1,1 hatch,1,April,FALSE
MCM,Hillbilly,3,0,Slugfest,0,April,FALSE
BAP,Doctor,4,0,Slugfest,0,April,FALSE
AVW,Huntress,5,4,,0,April,FALSE
LER,Trapper,5,3,,0,April,FALSE
CF,Ghost Face,4,2,2 hatches + Sandbag Claudette,2,April,FALSE
CP,Trickster,3,1,Camp + 1 DC,0,April,FALSE
AVW,Twins,1,0,Slugfest,0,April,FALSE
BWS,Doctor,3,0,Tunnel +++,0,April,FALSE
SH,Huntress,4,0,Tunnel,0,April,FALSE
AVW,Huntress,2,0,Slugfest,0,April,FALSE
RF,Legion,2,0,,0,April,FALSE
BWS,Pig,2,1,1 hatch + 1 kill by trap,1,April,FALSE
HAW,Cannibal,1,1,1 hatch (given by the killer),1,April,FALSE
BWS,Ghost Face,0,0,Slugfest,0,April,FALSE
MCM,Hag,5,4,Farm + 1 hatch,1,April,FALSE
BWS,Hillbilly,2,1,1 suicide + 1 hatch,1,April,FALSE
HA,Blight,3,1,hatch,1,April,FALSE
